名字,导演,主演,年份,时长,国家,类型,评分,评论人数,五星,四星,三星,二星,一星
横道世之介,冲田修一,高良健吾,2013,160,日本,剧情 / 爱情,8.7,56169,50.8,37.0,10.9,1.1,0.3
东方不败风云再起,李惠民 / 程小东,林青霞,1993,93,香港,动作 / 爱情 / 武侠 / 古装,7.2,47048,16.8,38.1,36.8,7.0,1.4
鬼影,班庄·比辛达拿刚 / 柏德潘·王般,Achita Sikamana,2004,97,泰国,悬疑 / 恐怖,7.6,51289,20.6,45.6,29.7,3.4,0.6
狼的诱惑,金泰均,姜栋元,2004,113,韩国,剧情 / 动作 / 爱情,6.8,45461,11.4,29.3,48.8,9.0,1.5
寻枪,陆川,姜文,2002,90,中国,剧情 / 悬疑 / 犯罪,7.6,47325,15.4,52.1,29.9,2.3,0.3
K星异客,伊恩·索夫特雷,凯文·史派西,2001,120,美国 / 德国,剧情 / 科幻,8.5,53936,41.7,43.7,13.1,1.3,0.3
公民凯恩,奥逊·威尔斯,奥逊·威尔斯,1941,119,美国,剧情 / 悬疑,8.5,47734,44.5,39.8,13.8,1.5,0.4
意外,郑保瑞,古天乐,2009,89,香港,惊悚,7.2,52092,8.7,47.5,40.1,3.3,0.4
红番区,唐季礼,成龙,1995,104,香港,喜剧 / 动作 / 犯罪,7.3,45582,11.6,44.5,41.0,2.6,0.3
白发魔女传之明月天国,张之亮,范冰冰,2014,103,中国大陆 / 香港,动作 / 爱情 / 奇幻 / 武侠 / 古装,3.7,58963,1.6,2.7,18.0,36.1,41.6
花魁,蜷川实花,土屋安娜,2007,111,日本,剧情 / 历史,8.1,52592,28.1,48.4,21.5,1.7,0.2
蜡笔小新,臼井仪人,柚木凉香,,,日本,喜剧 / 动画 / 家庭,8.9,49154,59.2,29.5,10.0,0.9,0.4
奇迹男孩,斯蒂芬·卓博斯基,雅各布·特伦布莱,2018,113,美国 / 香港,剧情 / 家庭 / 儿童,8.6,85456,43.4,44.7,11.2,0.6,0.1
超人归来,布莱恩·辛格,布兰登·罗斯,2006,154,美国,动作 / 科幻 / 冒险,6.5,47067,5.8,26.5,57.2,9.1,1.4
一个购物狂的自白,P·J·霍根,艾拉·菲舍尔,2009,104,美国,喜剧 / 爱情,6.4,49100,5.9,24.5,54.2,12.9,2.4
大地惊雷,乔尔·科恩 / 伊桑·科恩,杰夫·布里吉斯,2010,110,美国,剧情 / 西部 / 冒险,8.1,53223,27.2,52.3,19.1,1.1,0.2
四百击,弗朗索瓦·特吕弗,让-皮埃尔·利奥德,1959,99,法国,剧情 / 犯罪,8.7,47542,47.5,40.9,10.5,0.8,0.3
仙境之桥,嘉柏·丘波,乔什·哈切森,2009,96,美国,剧情 / 奇幻 / 冒险,7.8,51110,24.7,44.0,27.4,3.4,0.5
怪物史瑞克3,克里斯·米勒 / 许诚毅,麦克·梅尔斯,2007,93,美国,喜剧 / 动画 / 家庭 / 奇幻 / 冒险,7.2,46395,12.9,41.0,41.2,4.3,0.6
独行侠,戈尔·维宾斯基,约翰尼·德普,2013,149,美国,动作 / 西部 / 冒险,7.0,54303,12.1,37.5,41.7,7.4,1.4
七个神经病,马丁·麦克唐纳,科林·法瑞尔,2012,110,英国,喜剧 / 犯罪,7.6,52329,20.3,46.4,28.4,4.0,0.9
飓风营救3,奥利维尔·米加顿,连姆·尼森,2015,109,法国 / 美国,动作 / 惊悚 / 犯罪,6.3,53674,5.4,22.6,57.2,13.1,1.7
健忘村,陈玉勋,舒淇,2017,116,中国大陆 / 台湾,剧情 / 喜剧 / 奇幻 / 古装,6.7,57646,8.5,34.3,43.6,11.0,2.7
守护者联盟,彼得·拉姆齐,克里斯·派恩,2012,97,美国,动画 / 家庭 / 奇幻 / 冒险,8.0,54757,29.6,44.0,23.7,2.3,0.4
屌丝女士 第一季,Marco Musienko,玛蒂娜·希尔,,,德国,喜剧,8.3,56053,41.0,37.4,16.7,3.2,1.7
金玉满堂,徐克,张国荣,1995,106,香港,喜剧 / 爱情,8.0,48064,26.1,48.1,24.1,1.4,0.2
超时空接触,罗伯特·泽米吉斯,朱迪·福斯特,1997,150,美国,剧情 / 科幻,8.3,52422,38.0,43.1,16.9,1.7,0.4
樱兰高校男公关部,五十岚卓哉,铃村健一,,,日本,喜剧 / 爱情 / 动画,8.7,53207,50.1,35.3,13.3,1.1,0.3
九条命,巴里·索南菲尔德,凯文·史派西,2016,87,法国 / 中国大陆,喜剧 / 家庭 / 奇幻,6.9,57844,11.1,33.1,46.7,8.2,1.0
如父如子,是枝裕和,福山雅治,2013,120,日本,剧情 / 家庭,8.4,54568,34.1,52.3,12.9,0.6,0.1
倒霉爱神,唐纳德·佩特瑞,琳赛·洛翰,2006,103,美国,喜剧 / 爱情 / 奇幻,6.8,46445,7.3,31.7,54.0,6.4,0.7
缘分天注定,彼德·切尔瑟姆,约翰·库萨克,2001,90,美国,喜剧 / 爱情 / 奇幻,7.5,47765,19.2,43.7,33.0,3.5,0.6
银魂,高松信司 / 藤田阳一,杉田智和,,,日本,喜剧 / 动作 / 科幻 / 动画,9.6,64717,84.0,12.8,2.7,0.3,0.3
小情人,Vitcha Gojiew / 颂裕·素玛戈南 / 尼提瓦·塔拉吞 / 维达也·汤于容 / 埃迪森·特斯利卡森 / Komgrit Triwimol,查理·瑞纳,2003(泰国) / 2004,110,泰国,喜剧 / 儿童,8.6,49433,43.9,41.6,13.5,0.8,0.2
沙漠之花,雪瑞·霍尔曼,莉亚·科贝德,2009,128,英国 / 德国 / 奥地利,剧情,8.7,50264,45.5,43.5,10.4,0.6,0.1
秋天的童话,张婉婷,周润发,1987,98,香港,剧情 / 爱情,8.4,47215,35.3,49.3,14.7,0.6,0.1
花吃了那女孩,陈宏一,陈泱瑾,2008,106,台湾,爱情 / 同性,6.1,45306,5.5,20.6,50.0,19.1,4.8
恶童,迈克尔·艾里亚斯,二宫和也,2006,111,日本,动作 / 动画 / 犯罪 / 冒险,8.6,48527,47.5,36.0,13.8,2.1,0.6
天才少女,马克·韦布,克里斯·埃文斯,2017,101,美国,剧情 / 家庭,8.1,57169,27.8,51.3,19.9,0.9,0.2
爱情公寓3,韦正,娄艺潇,,,中国大陆,剧情 / 喜剧 / 爱情,7.3,55186,23.8,35.9,29.5,5.4,5.3
浮生一日,凯文·麦克唐纳 / Natalia Andreadis / Joseph Michael,Cindy Baer,2011,95,美国,剧情 / 纪录片,8.8,52085,52.2,36.7,9.9,0.9,0.3
罗密欧与朱丽叶,巴兹·鲁赫曼,莱昂纳多·迪卡普里奥,1996,120,美国,剧情 / 爱情 / 犯罪,7.2,46244,15.3,38.8,39.6,5.4,0.8
虎胆龙威,约翰·麦克蒂尔南,布鲁斯·威利斯,1988,132,美国,动作 / 惊悚 / 犯罪,8.1,47507,26.2,53.6,19.1,0.9,0.1
像素大战,克里斯·哥伦布,亚当·桑德勒,2015,106,美国 / 中国大陆,喜剧 / 动作 / 科幻,6.1,56010,5.4,20.6,50.2,19.2,4.5
疯狂愚蠢的爱,格伦·费卡拉 / 约翰·里夸,史蒂夫·卡瑞尔,2011,118,美国,剧情 / 喜剧 / 爱情 / 家庭,7.3,51233,12.0,45.2,38.4,3.9,0.5
听到涛声,望月智充,飞田展男,1993,72,日本,剧情 / 爱情 / 动画,8.1,48316,31.9,44.7,21.8,1.5,0.2
陪安东尼度过漫长岁月,秦小珍,刘畅,2015,121,中国大陆,剧情 / 爱情,6.1,55259,10.5,22.2,39.3,19.2,8.8
生死停留,马克·福斯特,伊万·麦克格雷格,2005,99,美国,剧情 / 悬疑 / 惊悚,7.5,50875,17.1,45.8,32.2,4.0,0.9
伴我同行,罗伯·莱纳,瑞凡·菲尼克斯,1986,89,美国,剧情 / 儿童 / 冒险,8.9,52099,53.7,37.4,8.3,0.5,0.1
间谍之桥,史蒂文·斯皮尔伯格,汤姆·汉克斯,2015,141,美国 / 德国 / 印度,剧情 / 传记 / 历史,8.0,55516,25.0,53.0,20.4,1.3,0.2
黄金三镖客,赛尔乔·莱翁内,克林特·伊斯特伍德,1966,161,意大利 / 西班牙 / 西德,西部 / 冒险,9.1,51704,63.1,29.5,6.6,0.6,0.2
绝命毒师 第三季,布莱恩·科兰斯顿 / 亚当·伯恩斯坦 / 米歇尔·麦克拉伦 / 斯科特·怀南特 / 乔韩·瑞克 / 约翰·施班 / 科林·巴克西 / 迈克尔·斯劳韦斯 / 莱恩·约翰逊 / 文斯·吉里根,布莱恩·科兰斯顿,,,美国,剧情 / 犯罪,9.1,54065,62.8,29.9,6.7,0.4,0.2
隐婚男女,叶念琛,陈奕迅,2011,100,中国大陆 / 香港 / 日本,剧情 / 爱情,5.6,45595,2.5,13.4,53.3,25.1,5.7
中南海保镖,元奎,李连杰,1994,89,香港,动作,7.4,46528,15.7,41.1,39.2,3.6,0.4
星运里的错,约什·布恩,谢琳·伍德蕾,2014,126,美国,剧情 / 爱情,7.8,54155,23.6,45.5,27.4,3.0,0.5
芭啦芭啦樱之花,马楚成,郭富城,2001,101,香港 / 中国大陆,剧情 / 喜剧 / 爱情 / 歌舞,6.1,41547,3.7,16.7,61.0,15.8,2.8
功夫熊猫之盖世五侠的秘密,许诚毅,杰克·布莱克,2008,25,美国,喜剧 / 动作 / 动画 / 短片,7.6,47606,18.0,48.3,31.4,2.1,0.3
夜半歌声,于仁泰,张国荣,1995,100,香港 / 中国 / 新加坡,剧情 / 爱情 / 惊悚 / 音乐,7.9,44141,22.4,50.6,25.0,1.8,0.2
虫师,长滨博史,中野裕斗,,,日本,剧情 / 动画 / 悬疑 / 惊悚 / 恐怖 / 奇幻,9.4,55336,73.8,20.7,5.0,0.4,0.2
少年汉尼拔,彼得·韦柏,加斯帕德·尤利尔,2007,121,英国 / 捷克 / 法国 / 意大利,惊悚 / 犯罪,7.2,48401,14.8,36.7,41.3,6.1,1.0
剩者为王,落落,舒淇,2015,100,中国大陆 / 香港,剧情 / 爱情,5.6,53935,5.2,15.6,43.9,26.1,9.1
神探伽利略,西谷弘 / 成田岳 / 西坂瑞城 / 泽田镰作,福山雅治,,,日本,剧情 / 悬疑,8.2,54103,30.7,48.7,19.2,1.2,0.2
古惑仔2之猛龙过江,刘伟强,郑伊健,1996,101,香港,剧情 / 动作,7.5,45758,17.2,45.9,33.9,2.5,0.5
28岁未成年,张末,倪妮,2016,109,中国大陆,喜剧 / 爱情 / 奇幻,5.6,56799,5.1,16.7,42.7,25.6,9.9
绝密跟踪,曹义锡‍ / 金丙书,薛耿求,2014,119,韩国,动作 / 犯罪,7.6,53190,15.9,52.4,29.5,1.9,0.3
暗花,,,,,,,,50352,35.5,47.1,16.0,1.2,0.3
安娜·卡列尼娜,乔·赖特,凯拉·奈特莉,2012,130,英国,剧情 / 爱情,7.1,49683,11.7,39.9,40.9,6.5,1.1
海底总动员2：多莉去哪儿,安德鲁·斯坦顿 / 安格斯·麦克莱恩,艾伦·德杰尼勒斯,2016,97,美国,喜剧 / 动画 / 家庭 / 冒险,7.3,55368,16.4,41.0,36.7,4.9,0.9
倾城之泪,黄真真,周冬雨,2011,108,中国大陆,剧情 / 爱情,4.8,48193,2.7,8.8,34.8,35.2,18.5
白发魔女传,于仁泰,张国荣,1993,89,香港,动作 / 爱情 / 奇幻 / 冒险 / 武侠 / 古装,7.7,44658,20.3,47.2,29.8,2.4,0.3
的士速递,吉拉尔·皮雷,萨米·纳塞利,1998,86,法国,喜剧 / 动作 / 犯罪,7.8,44279,19.8,52.1,25.9,1.9,0.3
机器管家,克里斯·哥伦布,罗宾·威廉姆斯,1999,132,美国 / 德国,剧情 / 喜剧 / 爱情 / 科幻,8.5,48736,42.3,42.7,13.7,1.2,0.2
胜者即是正义SP,石川淳一,堺雅人,2013,119,日本,剧情 / 喜剧,8.9,54779,54.7,36.5,8.4,0.4,0.1
真爱之吻,马克·帕兰斯基,克里斯蒂娜·里奇,2006,104,英国 / 美国,喜剧 / 爱情 / 奇幻,6.7,46134,7.3,30.0,54.2,7.8,0.8
保罗,格雷格·莫托拉,西蒙·佩吉,2011,104,美国 / 英国,喜剧 / 科幻 / 冒险,7.6,50488,17.5,48.9,30.3,2.8,0.4
流星花园,蔡岳勋,徐熙媛,,,台湾,剧情 / 喜剧 / 爱情,8.1,48411,35.0,40.4,21.3,2.4,0.9
魔术师,西维亚·乔迈,Jean-Claude Donda,2010,80,法国 / 英国,剧情 / 动画,8.7,49828,46.8,41.8,10.7,0.6,0.1
比海更深,是枝裕和,阿部宽,2016,117,日本,剧情 / 家庭,8.6,54944,43.1,45.7,10.3,0.7,0.2
洛丽塔,斯坦利·库布里克,詹姆斯·梅森,1962,152,美国 / 英国,剧情 / 爱情 / 情色,7.7,43579,19.7,47.7,29.6,2.5,0.5
刺陵,朱延平,周杰伦,2009,110,中国大陆 / 台湾 / 香港,动作 / 冒险,3.7,51332,1.4,2.2,18.6,36.4,41.4
妈妈咪呀,菲利达·劳埃德,梅丽尔·斯特里普,2008,108,英国 / 美国 / 德国,喜剧 / 爱情 / 歌舞,7.5,48164,18.8,41.9,33.9,4.7,0.7
爱,迈克尔·哈内克,让-路易·特兰蒂尼昂,2012,127,法国 / 德国 / 奥地利,剧情 / 爱情,8.5,49655,43.2,42.5,12.4,1.4,0.5
辣妈辣妹,马克·沃特斯,杰米·李·柯蒂斯,2003,97,美国,喜剧 / 家庭 / 奇幻,7.3,45760,13.1,44.7,39.1,2.8,0.3
足球尤物,安迪·菲克曼,阿曼达·贝尼斯,2006,105,美国 / 加拿大,喜剧 / 爱情,7.3,46929,13.5,42.8,39.5,3.7,0.5
破产姐妹 第三季,弗莱德·萨维奇,凯特·戴琳斯,,,美国,喜剧,8.3,56008,39.9,39.6,17.9,2.1,0.5
逃学威龙3之龙过鸡年,王晶,周星驰,1993,89,香港,喜剧,7.1,43706,13.5,33.8,46.1,5.8,0.8
第一滴血,特德·科特切夫,西尔维斯特·史泰龙,1982,93,美国,剧情 / 动作 / 惊悚 / 冒险,8.1,45185,28.9,50.7,18.9,1.3,0.3
Hello！树先生,韩杰,王宝强,2011,93,中国大陆,剧情 / 喜剧,7.3,49145,17.3,39.7,34.3,6.8,2.0
布鲁克林,约翰·克劳利,西尔莎·罗南,2015,111,英国 / 加拿大 / 爱尔兰,剧情 / 爱情,7.8,54061,20.3,49.9,27.4,2.2,0.3
异次元骇客,约瑟夫·鲁斯纳克,克雷格·比尔克,1999,100,德国 / 美国,科幻 / 悬疑 / 惊悚,8.3,51094,33.2,49.3,16.1,1.2,0.2
那山那人那狗,霍建起,滕汝骏,1999(中国大陆) / 2001,93,中国大陆,剧情 / 家庭,8.4,46986,37.8,47.2,13.9,0.9,0.2
星球大战3：绝地归来,理查德·马昆德,马克·哈米尔,1983,131,美国,动作 / 科幻 / 冒险,8.3,47050,34.0,46.9,17.4,1.3,0.3
影子写手,罗曼·波兰斯基,伊万·麦克格雷格,2010,128,法国 / 德国 / 英国,剧情 / 悬疑 / 惊悚,7.5,48917,13.3,53.6,30.7,2.1,0.4
绝世高手,卢正雨,卢正雨,2017,116,中国大陆,喜剧 / 动作,6.0,57736,6.9,22.6,42.5,20.2,7.8
美味情缘,斯科特·希克斯,凯瑟琳·泽塔-琼斯,2007,104,美国 / 澳大利亚,剧情 / 喜剧 / 爱情,6.9,43595,7.9,33.6,52.8,5.2,0.5
姐姐的守护者,尼克·卡萨维茨,卡梅隆·迪亚兹,2009,109,美国,剧情 / 家庭,8.3,49233,32.2,49.7,16.7,1.2,0.2
东京女子图鉴,棚田由纪,水川麻美,,,日本,剧情,8.7,61341,46.0,43.9,9.3,0.7,0.2
勇敢者游戏：决战丛林,杰克·卡斯丹,道恩·强森,2018,119,美国,动作 / 奇幻 / 冒险,7.2,59624,11.1,43.3,40.2,4.7,0.7
魔法师的学徒,乔·德特杜巴,尼古拉斯·凯奇,2010,109,美国,剧情 / 喜剧 / 动作 / 奇幻 / 冒险,6.1,48614,3.6,19.4,57.3,17.0,2.6
夏目友人帐 第二季,大森贵弘,神谷浩史,,,日本,剧情 / 动画 / 奇幻,9.4,53653,74.2,22.1,3.4,0.2,0.1
别惹我,吕克·贝松,罗伯特·德尼罗,2014,111,法国 / 美国,喜剧 / 动作 / 惊悚 / 犯罪,7.1,52896,11.0,38.8,43.6,5.8,0.9
金枝玉叶,陈可辛,袁咏仪,1994,107,香港,喜剧 / 爱情 / 同性,8.3,46862,33.3,48.8,17.0,0.8,0.2
雪孩子,林文肖,丁建华,1980(中国大陆),20,中国大陆,动画 / 短片,8.8,43123,55.4,31.8,11.9,0.7,0.2
决胜21点,罗伯特·路克蒂克,吉姆·斯特吉斯,2008,123,美国,剧情 / 犯罪,6.8,47050,7.9,34.0,50.8,6.6,0.7
偷偷爱着你,松田秀知,堀北真希,,,日本,剧情,8.0,50445,29.1,44.0,24.6,2.1,0.3
赛德克·巴莱(下)：彩虹桥,魏德圣,马志翔,2011,132,台湾,剧情 / 历史 / 战争,8.7,48866,49.9,37.7,11.1,1.0,0.3
简爱,凯瑞·福永,迈克尔·法斯宾德,2011,120,英国,剧情 / 爱情,7.4,44701,14.3,46.0,36.1,3.3,0.4
陆垚知马俐,文章,包贝尔,2016,107,中国大陆,喜剧 / 爱情,5.4,53719,5.4,14.7,37.8,27.4,14.8
人兽杂交,文森佐·纳塔利,艾德里安·布洛迪,2010,104,加拿大 / 法国 / 美国,剧情 / 科幻 / 惊悚,5.5,47675,2.9,12.9,48.3,27.4,8.4
IT狂人 第一季,格雷厄姆·莱恩汉 / Richard Boden / Ben Fuller / Barbara Wiltshire,克里斯·奥多德,,,英国,喜剧,8.9,52812,58.7,30.7,9.2,1.1,0.2
星尘,马修·沃恩,查理·考克斯,2007,127,美国 / 英国 / 冰岛,爱情 / 家庭 / 奇幻 / 冒险,7.6,48482,20.7,44.2,30.8,3.8,0.5
指匠情挑,Aisling Walsh,伊莲·卡西迪,,,英国,剧情 / 爱情 / 同性 / 犯罪,8.9,50911,54.1,36.7,8.6,0.5,0.1
人间喜剧,陈庆嘉 / 秦小珍,杜汶泽,2010,100,香港,喜剧,7.5,48234,16.4,47.7,30.3,4.5,1.0
赛车总动员2,约翰·拉塞特 / 布拉德·刘易斯,欧文·威尔逊,2011,106,美国,喜剧 / 动画 / 冒险,7.6,48691,18.6,47.1,31.0,2.9,0.4
永不妥协,史蒂文·索德伯格,朱莉娅·罗伯茨,2000,130,美国,剧情 / 爱情 / 传记,8.3,45674,32.0,51.2,15.9,0.8,0.1
世界之战,史蒂文·斯皮尔伯格,汤姆·克鲁斯,2005,116,美国,科幻 / 惊悚 / 灾难,6.5,46728,7.1,26.5,51.3,12.7,2.4
暴力街区13：终极,帕特里克·亚力桑德罗,大卫·贝利,2009,101,法国,动作 / 科幻,7.4,47078,15.3,43.7,36.1,4.4,0.5
分裂,M·奈特·沙马兰,詹姆斯·麦卡沃伊,2016,117,美国,悬疑 / 惊悚 / 犯罪,7.2,54199,13.7,41.3,38.8,5.4,0.9
欲望都市 第一季,David Frankel,莎拉·杰茜卡·帕克,,,美国,喜剧 / 爱情,8.7,43885,50.5,36.7,11.6,0.9,0.3
大块头有大智慧,杜琪峰 / 韦家辉,刘德华,2003,92,香港 / 中国大陆,剧情 / 动作 / 惊悚,6.4,42687,8.3,23.8,50.5,14.7,2.7
异形3,大卫·芬奇,西格妮·韦弗,1992,114,美国,动作 / 科幻 / 恐怖,7.0,45835,11.4,36.5,44.7,6.5,0.9
哥斯拉,罗兰·艾默里奇,马修·布罗德里克,1998,139,美国 / 日本,动作 / 科幻 / 冒险 / 灾难,7.0,45322,10.3,35.6,46.7,6.3,1.0
机械师2：复活,丹尼斯·甘塞尔,杰森·斯坦森,2016,98,法国 / 美国,动作 / 犯罪,5.6,55146,3.9,13.5,49.0,27.4,6.2
风语战士,吴宇森,尼古拉斯·凯奇,2002,153,美国,动作 / 历史 / 战争,7.5,45749,16.2,47.8,31.9,3.6,0.5
大河恋,罗伯特·雷德福,布拉德·皮特,1992,123,美国,剧情 / 家庭,8.4,45360,37.8,47.0,14.3,0.8,0.1
忘不了,尔冬升,张柏芝,2003,109,香港,剧情,7.7,42214,17.3,51.6,29.3,1.6,0.2
绿灯侠,马丁·坎贝尔,瑞安·雷诺兹,2011,114,美国,动作 / 科幻,5.8,49289,3.3,15.4,55.7,21.2,4.3
古惑仔3之只手遮天,刘伟强,郑伊健,1996,98,香港,剧情 / 动作,7.6,42881,18.1,45.4,33.4,2.5,0.6
老友记 第二季,迈克尔·莱拜克,詹妮弗·安妮斯顿,,,美国,喜剧 / 爱情,9.7,49924,86.8,11.6,1.4,0.1,0.0
七剑,徐克,甄子丹,2005,153,中国大陆 / 香港 / 韩国,剧情 / 动作 / 武侠 / 古装,5.8,43419,2.9,15.6,55.6,21.4,4.5
随波逐流,丹尼斯·杜根,亚当·桑德勒,2011,117,美国,喜剧 / 爱情,7.2,47475,11.5,43.5,40.1,4.4,0.5
芈月传,郑晓龙,孙俪,,,中国大陆,剧情 / 古装,5.3,58270,8.8,14.8,32.0,21.4,22.9
8英里,柯蒂斯·汉森,埃米纳姆,2002,110,美国 / 德国,剧情 / 音乐,8.1,45996,29.9,45.4,22.6,1.8,0.3
蜀山传,徐克,郑伊健,2001,104,中国大陆 / 香港,动作 / 奇幻 / 武侠 / 古装,6.4,44128,9.9,23.9,45.7,16.7,3.8
下妻物语,中岛哲也,深田恭子,2004,102,日本,喜剧,7.9,46625,26.6,45.0,24.9,2.9,0.6
剑鱼行动,多米尼克·塞纳,约翰·特拉沃尔塔,2001,99,美国 / 澳大利亚,动作 / 惊悚 / 犯罪,7.4,46844,14.1,47.2,35.0,3.3,0.5
爸爸去哪儿 第一季,谢涤葵,林志颖,,,中国大陆,家庭 / 儿童 / 真人秀,9.1,55208,64.3,27.1,7.1,0.7,0.8
大话王,汤姆·沙迪亚克,金·凯瑞,1997,86,美国,喜剧 / 奇幻,7.5,44298,14.5,50.2,33.2,1.9,0.2
洋葱电影,Tom Kuntz / Mike Maguire,Daniel Chacón,2008,80,美国,喜剧,7.6,46271,21.4,45.0,28.7,4.0,0.9
城中大盗,本·阿弗莱克,本·阿弗莱克,2010,125,美国,剧情 / 惊悚 / 犯罪,7.5,48784,13.1,50.6,33.4,2.6,0.3
纳尼亚传奇3：黎明踏浪号,迈克尔·艾普特,本·巴恩斯,2011,113,美国,剧情 / 奇幻 / 冒险,6.5,46602,7.7,25.8,53.4,11.4,1.8
波普先生的企鹅,马克·沃特斯,金·凯瑞,2011,95,美国,喜剧 / 家庭,7.3,47186,12.5,44.3,38.9,3.9,0.4
名侦探柯南：水平线上的阴谋,山本泰一郎,高山南,2005,105,日本,动画 / 悬疑,7.5,46351,17.8,45.3,33.5,3.0,0.3
坠入,塔西姆·辛,凯婷卡·安塔鲁,2006,117,美国 / 南非 / 印度,剧情 / 喜剧 / 奇幻 / 冒险,8.8,50922,52.6,35.4,10.3,1.4,0.3
女巫季节,多米尼克·塞纳,尼古拉斯·凯奇,2011,95,美国,动作 / 奇幻 / 冒险,5.5,46192,2.2,11.3,51.0,28.9,6.5
训练日,安东尼·福奎阿,丹泽尔·华盛顿,2001,122,美国 / 澳大利亚,剧情 / 惊悚 / 犯罪,7.9,46640,21.0,53.8,23.4,1.6,0.2
杀手：代号47,泽维尔·吉恩斯,蒂莫西·奥利芬特,2007,89,法国 / 美国,剧情 / 动作 / 惊悚 / 犯罪,7.0,46261,12.7,36.4,42.6,7.1,1.2
爱出色,陈奕利,姚晨,2010,101,中国大陆,喜剧 / 爱情,5.9,43775,3.1,18.0,54.6,19.7,4.5
风云雄霸天下,刘伟强,郑伊健,1998,128,香港 / 中国大陆,动作 / 奇幻 / 冒险,6.8,42176,9.0,32.3,49.0,8.2,1.5
吸血鬼日记 第二季,马科斯·西恩加 / Kevin Bray,妮娜·杜波夫,,,美国,剧情 / 爱情 / 恐怖 / 奇幻,8.6,52050,46.3,39.8,12.6,1.0,0.2
伯德小姐,格蕾塔·葛韦格,西尔莎·罗南,2017,93,美国,剧情 / 喜剧 / 家庭,8.0,55573,26.5,50.7,21.2,1.4,0.3
豚鼠特攻队,霍伊特·耶特曼,比尔·奈伊,2009,88,美国,动作 / 动画 / 冒险,6.9,46343,8.3,34.1,50.6,6.2,0.8
家有喜事2009,谷德昭,古天乐,2009,100,香港,喜剧,5.4,43475,2.2,10.7,50.3,27.6,9.1
下一站，说爱你,Adisorn Trisirikasem,Theeradeth Wonpuapan,2009,125,泰国,喜剧 / 爱情,7.8,47843,23.9,47.8,25.5,2.4,0.4
热血高校2,三池崇史,小栗旬,2009,133,日本,动作,7.8,46590,24.2,45.2,26.8,3.2,0.6
异形4,让-皮埃尔·热内,西格妮·韦弗,1997,109,美国,动作 / 科幻 / 恐怖,7.5,45503,16.7,47.3,32.4,3.1,0.4
粉红女郎,伍宗德,刘若英,,,中国大陆,剧情 / 喜剧 / 爱情,7.3,44439,17.9,37.8,38.5,5.0,0.8
潜行狙击,庄伟建 / 苏万聪,黄宗泽,,,香港,剧情 / 动作 / 爱情,8.4,50756,36.5,49.2,13.4,0.7,0.1
没关系，是爱情啊,金奎泰,孔晓振,,,韩国,剧情,8.5,55320,46.3,36.1,14.8,2.1,0.6
侠探杰克,克里斯托弗·麦奎里,汤姆·克鲁斯,2013,130,美国,动作 / 惊悚 / 犯罪,6.1,50184,4.3,20.5,54.8,17.3,3.2
我们诞生在中国,陆川,周迅,2016,79,美国 / 英国 / 中国大陆,剧情 / 纪录片,8.0,53384,29.3,46.0,21.7,2.3,0.6
重返地球,M·奈特·沙马兰,威尔·史密斯,2013,100,美国,动作 / 科幻 / 冒险,5.5,49680,3.2,12.5,47.1,28.9,8.3
初恋这首情歌,约翰·卡尼,福迪亚·瓦尔什-匹罗,2016,106,爱尔兰 / 英国 / 美国,剧情 / 爱情 / 音乐,8.3,52569,33.6,47.5,17.3,1.4,0.2
亡命驾驶,尼古拉斯·温丁·雷弗恩,瑞恩·高斯林,2011,100,美国,剧情 / 动作 / 犯罪,7.3,48727,15.9,40.8,35.9,6.2,1.2
金鸡,赵良骏,吴君如,2002,106,香港,剧情 / 喜剧,8.1,45301,29.3,49.7,18.6,1.9,0.4
老爷车,克林特·伊斯特伍德,克林特·伊斯特伍德,2008,116,美国 / 德国,剧情,8.6,48077,43.1,44.2,11.5,1.0,0.2
绝命毒师 第四季,亚当·伯恩斯坦 / 米歇尔·麦克拉伦 / 大卫·斯雷德 / 科林·巴克西 / 迈克尔·斯劳韦斯 / 皮特·古尔德 / 乔韩·瑞克 / 泰瑞·麦克多诺 / 斯科特·怀南特 / 文斯·吉里根,布莱恩·科兰斯顿,,,美国,剧情 / 犯罪,9.3,50768,72.3,23.1,4.1,0.3,0.2
天国王朝,雷德利·斯科特,奥兰多·布鲁姆,2005,144,美国 / 英国 / 西班牙 / 德国 / 摩洛哥,动作 / 历史 / 冒险,8.3,48158,36.1,43.7,18.0,1.9,0.3
大军师司马懿之军师联盟,张永新,吴秀波,,,中国大陆,剧情 / 爱情 / 战争 / 古装,8.1,67029,33.6,44.5,16.4,3.2,2.3
魔弦传说,特拉维斯·奈特,查理兹·塞隆,2017,102,美国,动画 / 奇幻 / 冒险,7.4,53114,15.4,44.8,34.7,4.5,0.6
地狱男爵,吉尔莫·德尔·托罗,朗·普尔曼,2004,122,美国,动作 / 奇幻 / 冒险,6.9,43994,8.1,35.7,49.1,6.2,0.9
方世玉续集,元奎,李连杰,1993,95,香港,喜剧 / 动作 / 武侠 / 古装,7.6,41177,15.4,49.2,33.4,1.8,0.2
成长的烦恼 第一季,约翰·帕斯昆,艾伦·锡克,,,美国,喜剧 / 家庭,9.4,43331,75.5,20.4,3.9,0.1,0.0
