名字,导演,主演,年份,时长,国家,类型,评分,评论人数,五星,四星,三星,二星,一星
亚瑟王：斗兽争霸,盖·里奇,查理·汉纳姆,2017,126,美国,动作 / 奇幻 / 冒险,7.0,41829,12.3,37.8,40.4,8.1,1.4
行动目标希特勒,布莱恩·辛格,汤姆·克鲁斯,2009,121,美国 / 德国,剧情 / 历史 / 战争,7.0,36455,8.4,41.0,45.5,4.6,0.6
包青天,孙树培,金超群,,,台湾 / 香港,剧情 / 历史 / 武侠 / 古装,8.0,31720,25.6,50.9,22.1,1.1,0.2
小胖妞,何伟锋,,2010,5,中国大陆,动作 / 爱情 / 动画 / 短片,8.7,36489,48.3,40.5,10.4,0.6,0.2
后裔,亚历山大·佩恩,乔治·克鲁尼,2011,115,美国,剧情 / 喜剧 / 家庭,7.5,37691,13.5,52.6,31.7,2.0,0.2
交响情人梦之欧洲特别篇,武内英树,上野树里,,,日本,剧情,8.9,36478,55.7,33.4,10.1,0.7,0.1
军中乐园,钮承泽,阮经天,2014,133,台湾 / 中国大陆,剧情 / 爱情 / 历史,7.3,39275,12.5,44.3,37.9,4.7,0.6
荷尔蒙,颂裕·素玛戈南,查理·瑞纳,2008,126,泰国,喜剧,7.5,34822,17.6,45.5,33.3,3.1,0.5
我的特工爷爷,洪金宝,洪金宝,2016,99,香港 / 中国大陆,剧情 / 动作 / 冒险,5.3,40156,3.9,11.6,41.9,30.7,11.8
灵魂战车2：复仇时刻,马克·耐沃尔代 / 布莱恩·泰勒,尼古拉斯·凯奇,2012,95,美国,动作 / 惊悚 / 奇幻,5.4,36088,3.7,11.7,45.2,30.8,8.6
摩登家庭 第二季,Jason Winer,艾德·奥尼尔,,,美国,喜剧 / 家庭,9.5,39514,76.0,21.4,2.5,0.1,0.1
魔法保姆麦克菲,柯克·琼斯,艾玛·汤普森,2005,97,美国 / 英国 / 法国,喜剧 / 家庭 / 奇幻,7.4,34832,14.1,46.2,36.4,2.9,0.4
小屁孩日记,托尔·弗洛伊德桑尔,扎克瑞·戈登,2010,94,美国,喜剧 / 家庭,7.1,35279,9.9,39.3,45.8,4.6,0.4
平衡,克里斯托弗·劳恩斯坦 / 沃尔夫冈·劳恩斯坦,,,7,西德,剧情 / 动画 / 短片,9.0,36614,59.1,33.0,7.4,0.4,0.1
异形大战铁血战士,保罗·安德森,桑娜·莱瑟,2004,101,美国 / 德国 / 捷克 / 英国,动作 / 科幻 / 惊悚,6.8,35301,9.2,31.4,49.2,8.6,1.6
闯入者,王小帅,吕中,2015,106,中国大陆,剧情 / 惊悚 / 犯罪,7.6,40144,16.9,51.4,27.4,3.5,0.9
黑夜传说4：觉醒,曼斯·马林德 / 比约恩·史坦,凯特·贝金赛尔,2012,88,美国,动作 / 惊悚 / 奇幻,6.6,35957,7.6,27.2,52.9,10.9,1.5
爱情洗牌,土井裕泰 / 山室大辅 / Tsuboi Toshio,玉木宏,,,日本,剧情 / 爱情,8.5,41040,43.1,41.5,14.2,1.0,0.2
家有儿女,林丛,宋丹丹,,,中国大陆,喜剧 / 家庭,8.1,35975,32.8,43.5,20.3,2.3,1.0
念念,张艾嘉,梁洛施,2015,119,香港 / 台湾,剧情 / 爱情 / 家庭,6.9,37984,11.3,37.0,41.0,8.9,1.8
驱魔人,威廉·弗莱德金,艾伦·伯斯汀,1973,122,美国,恐怖,7.6,34499,20.0,45.2,30.3,3.7,0.8
致命黑兰,奥利维尔·米加顿,佐伊·索尔达娜,2013,108,法国,剧情 / 动作 / 惊悚 / 犯罪,6.9,37139,8.9,35.0,49.6,5.8,0.7
九州·海上牧云记,曹盾,黄轩,,,中国大陆,剧情 / 奇幻 / 古装,7.0,54903,23.5,27.7,29.3,12.4,7.0
家园,扬·阿尔蒂斯-贝特朗,扬·阿尔蒂斯-贝特朗,2009,118,法国,纪录片,9.2,35714,66.8,25.9,6.4,0.7,0.2
恐袭波士顿,彼得·博格,马克·沃尔伯格,2017,133,美国,剧情 / 惊悚 / 历史,8.1,41470,25.2,57.0,16.7,0.9,0.2
像雾像雨又像风,赵宝刚 / 汪俊,陈坤,,,中国大陆,剧情 / 爱情,8.0,33833,26.5,47.7,24.3,1.3,0.2
银行大劫案,罗杰·唐纳森,杰森·斯坦森,2008,111,英国,剧情 / 惊悚 / 犯罪,7.5,35614,12.7,51.3,33.5,2.3,0.2
致我们单纯的小美好,唐彬 / 杨龙,胡一天,,,中国大陆,剧情 / 爱情,7.3,51743,23.0,34.6,30.9,7.6,3.8
娜娜,浅香守生,朴璐美,,,日本,剧情 / 爱情 / 动画 / 音乐,9.1,35324,62.8,28.3,8.2,0.5,0.1
福音战士新剧场版：破,摩砂雪 / 鹤卷和哉 / 庵野秀明,绪方惠美,2009,108,日本,剧情 / 动作 / 科幻 / 动画,9.2,37870,70.2,23.0,5.9,0.6,0.3
浪客剑心 真人版,大友启史,佐藤健,2012,134,日本,剧情 / 动作 / 历史,7.7,38910,20.8,49.4,26.5,2.7,0.6
新天龙八部之天山童姥,钱永强,林青霞,1994,96,香港 / 中国大陆,动作 / 武侠 / 古装,7.3,33080,16.1,38.0,39.8,5.1,1.0
华尔街,奥利佛·斯通,查理·辛,1987,126,美国,剧情 / 犯罪,8.1,35285,26.1,55.5,17.5,0.8,0.1
老友记 第八季,Kevin Bright,詹妮弗·安妮斯顿,,,美国,喜剧 / 爱情,9.7,36967,87.5,11.0,1.4,0.1,0.0
择天记,钟澍佳 / 麦咏麟 / 孔厉大,鹿晗,,,中国大陆,剧情 / 奇幻 / 古装,4.1,61645,8.0,6.6,17.3,20.7,47.4
波拉特,拉里·查尔斯,萨莎·拜伦·科恩,2006,84,美国 / 英国,喜剧,7.4,35240,20.1,40.9,30.2,6.3,2.6
